"소재지(시군구)별(1)",소재지(시군구)별(2),2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024
"소재지(시군구)별(1)",소재지(시군구)별(2),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%)
"소재지(시군구)별(1)",소재지(시군구)별(2),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100)
"인천광역시",소계,2942828,2875877,66951,2875877,66951,97.72,97.72,2948375,2881117,67258,2881120,67255,97.72,97.72,2967314,2899766,67548,2899567,67747,97.72,97.72,2997410,2930599,66811,2930327,67083,97.77,97.76,3021010,2953597,67413,2953506,67504,97.77,97.77
"인천광역시",중구,139729,139729,0,139729,0,100.00,100.00,143633,143633,0,143633,0,100.00,100.00,152931,152931,0,152931,0,100.00,100.00,158958,158958,0,158958,0,100.00,100.00,167113,167113,0,167113,0,100.00,100.00
"인천광역시",동구,62542,62542,0,62542,0,100.00,100.00,61486,61486,0,61486,0,100.00,100.00,58999,58999,0,58999,0,100.00,100.00,59482,59482,0,59482,0,100.00,100.00,58296,58296,0,58296,0,100.00,100.00
"인천광역시",미추홀구,404343,404343,0,404343,0,100,100,407464,407464,0,407464,0,100,100,406004,406004,0,406004,0,100,100,405995,405995,0,405995,0,100,100,412274,412274,0,412274,0,100,100
"인천광역시",연수구,387450,387450,0,387450,0,100.00,100.00,389644,389644,0,389644,0,100.00,100.00,385796,385796,0,385796,0,100.00,100.00,392416,392416,0,392416,0,100.00,100.00,400213,400213,0,400213,0,100.00,100.00
"인천광역시",남동구,525354,525354,0,525354,0,100.00,100.00,518272,518272,0,518272,0,100.00,100.00,506181,506181,0,506181,0,100.00,100.00,492415,492415,0,492415,0,100.00,100.00,486225,486225,0,486225,0,100.00,100.00
"인천광역시",부평구,494962,494962,0,494962,0,100.00,100.00,486765,486765,0,486765,0,100.00,100.00,489118,489118,0,489118,0,100.00,100.00,494138,494138,0,494138,0,100.00,100.00,493200,493200,0,493200,0,100.00,100.00
"인천광역시",계양구,296750,296750,0,296750,0,100.00,100.00,295696,295696,0,295696,0,100.00,100.00,288856,288856,0,288856,0,100.00,100.00,280266,280266,0,280266,0,100.00,100.00,280227,280227,0,280227,0,100.00,100.00
"인천광역시",서구,542040,542040,0,542040,0,100.00,100.00,555380,555380,0,555380,0,100.00,100.00,589013,589013,0,589013,0,100.00,100.00,624358,624358,0,624358,0,100.00,100.00,634064,634064,0,634064,0,100.00,100.00
"인천광역시",강화군,69203,22707,46496,22707,46496,32.81,32.81,69693,22777,46916,22780,46913,32.68,32.69,69803,22868,46935,22669,47134,32.76,32.48,69005,22571,46434,22299,46706,32.71,32.32,69402,21985,47417,21894,47508,31.68,31.55
"인천광역시",옹진군,20455,0,20455,0,20455,0.00,0.00,20342,0,20342,0,20342,0.00,0.00,20613,0,20613,0,20613,0.00,0.00,20377,0,20377,0,20377,0.00,0.00,19996,0,19996,0,19996,0.00,0.00
"광주광역시",소계,1450062,1450062,-,1450062,-,100.00,100.00,1441611,1441611,-,1441611,-,100.00,100.00,1431050,1431050,-,1431050,-,100.00,100.00,1419237,1419237,-,1419237,-,100.00,100.00,1408422,1408422,0,1408422,0,100.00,100.00
"광주광역시",동구,102897,102897,0,102897,0,100.00,100.00,103470,103470,0,103470,0,100.00,100.00,105909,105909,0,105909,0,100.00,100.00,107176,107176,0,107176,0,100.00,100.00,106203,106203,0,106203,0,100.00,100.00
"광주광역시",서구,296576,296576,0,296576,0,100.00,100.00,291231,291231,0,291231,0,100.00,100.00,287401,287401,0,287401,0,100.00,100.00,283991,283991,0,283991,0,100.00,100.00,279050,279050,0,279050,0,100.00,100.00
"광주광역시",남구,214579,214579,0,214579,0,100.00,100.00,215575,215575,0,215575,0,100.00,100.00,212379,212379,0,212379,0,100.00,100.00,209646,209646,0,209646,0,100.00,100.00,207597,207597,0,207597,0,100.00,100.00
"광주광역시",북구,430431,430431,0,430431,0,100.00,100.00,427114,427114,0,427114,0,100.00,100.00,424707,424707,0,424707,0,100.00,100.00,421683,421683,0,421683,0,100.00,100.00,423961,423961,0,423961,0,100.00,100.00
"광주광역시",광산구,405579,405579,0,405579,0,100.00,100.00,404221,404221,0,404221,0,100.00,100.00,400654,400654,0,400654,0,100.00,100.00,396741,396741,0,396741,0,100.00,100.00,391611,391611,0,391611,0,100.00,100.00
"대전광역시",소계,1463882,1463882,-,1463882,-,100.00,100.00,1452251,1452251,-,1452251,-,100.00,100.00,1446072,1446072,-,1446072,-,100.00,100.00,1442216,1442216,-,1442216,-,100.00,100.00,1439157,1439157,0,1439157,0,100.00,100.00
