±âÁØ³âµµ,ÇàÁ¤±¸¿ªÄÚµå,Åë°èÇ×¸ñ,Åë°è°ª
2023,11080810,ga_sd_006,278
2023,11080820,ga_sd_001,1493
2023,11080820,ga_sd_002,3457
2023,11080820,ga_sd_003,339
2023,11080820,ga_sd_004,N/A
2023,11080820,ga_sd_005,4898
2023,11080820,ga_sd_006,303
2023,11080830,ga_sd_001,993
2023,11080830,ga_sd_002,1691
2023,11080830,ga_sd_003,152
2023,11080830,ga_sd_005,5780
2023,11080830,ga_sd_006,317
2023,11080840,ga_sd_001,2516
2023,11080840,ga_sd_002,6885
2023,11080840,ga_sd_003,560
2023,11080840,ga_sd_004,N/A
2023,11080840,ga_sd_005,6000
2023,11080840,ga_sd_006,251
2023,11080850,ga_sd_001,2689
2023,11080850,ga_sd_002,5918
2023,11080850,ga_sd_003,459
2023,11080850,ga_sd_004,N/A
2023,11080850,ga_sd_005,5778
2023,11080850,ga_sd_006,354
2023,11090600,ga_sd_001,1270
2023,11090600,ga_sd_002,2670
2023,11090600,ga_sd_003,203
2023,11090600,ga_sd_004,N/A
2023,11090600,ga_sd_005,4937
2023,11090600,ga_sd_006,277
2023,11090610,ga_sd_001,1276
2023,11090610,ga_sd_002,2625
2023,11090610,ga_sd_003,183
2023,11090610,ga_sd_005,2713
2023,11090610,ga_sd_006,174
2023,11090620,ga_sd_001,1390
2023,11090620,ga_sd_002,3050
2023,11090620,ga_sd_003,225
2023,11090620,ga_sd_004,N/A
2023,11090620,ga_sd_005,2563
2023,11090620,ga_sd_006,76
2023,11090630,ga_sd_001,1571
2023,11090630,ga_sd_002,3243
2023,11090630,ga_sd_003,259
2023,11090630,ga_sd_004,N/A
2023,11090630,ga_sd_005,4124
2023,11090630,ga_sd_006,252
2023,11090640,ga_sd_001,1664
2023,11090640,ga_sd_002,3693
2023,11090640,ga_sd_003,337
2023,11090640,ga_sd_004,N/A
2023,11090640,ga_sd_005,3071
2023,11090640,ga_sd_006,170
2023,11090650,ga_sd_001,1593
2023,11090650,ga_sd_002,3325
2023,11090650,ga_sd_003,281
2023,11090650,ga_sd_004,N/A
2023,11090650,ga_sd_005,6755
2023,11090650,ga_sd_006,356
2023,11090690,ga_sd_001,1726
2023,11090690,ga_sd_002,3997
2023,11090690,ga_sd_003,319
2023,11090690,ga_sd_004,N/A
2023,11090690,ga_sd_005,3344
2023,11090690,ga_sd_006,220
2023,11090700,ga_sd_001,1599
2023,11090700,ga_sd_002,3119
2023,11090700,ga_sd_003,283
2023,11090700,ga_sd_005,5415
2023,11090700,ga_sd_006,281
2023,11090710,ga_sd_001,2176
2023,11090710,ga_sd_002,4858
2023,11090710,ga_sd_003,412
2023,11090710,ga_sd_005,5037
2023,11090710,ga_sd_006,248
