iter	Passed	Remaining
953	110560	121222
954	110683	121113
955	110811	121011
956	110933	120902
957	111065	120804
958	111190	120698
959	111317	120593
960	111445	120490
961	111566	120380
962	111690	120273
963	111812	120163
964	111934	120054
965	112069	119958
966	112195	119853
967	112323	119749
968	112448	119643
969	112577	119540
970	112708	119440
971	112828	119328
972	112952	119220
973	113075	119112
974	113203	119008
975	113340	118914
976	113472	118814
977	113594	118704
978	113716	118595
979	113843	118489
980	113970	118385
981	114107	118290
982	114223	118174
983	114345	118063
984	114469	117955
985	114596	117850
986	114727	117750
987	114851	117641
988	114969	117527
989	115092	117417
990	115213	117305
991	115335	117195
992	115457	117085
993	115585	116981
994	115712	116875
995	115845	116776
996	115970	116668
997	116106	116571
998	116231	116464
999	116354	116354
1000	116482	116249
1001	116598	116132
1002	116719	116021
1003	116844	115913
1004	116970	115806
1005	117097	115700
1006	117214	115585
1007	117343	115480
1008	117469	115374
1009	117590	115262
1010	117714	115152
1011	117844	115050
1012	117965	114937
1013	118098	114837
1014	118226	114732
1015	118353	114626
1016	118465	114505
1017	118595	114401
1018	118718	114291
1019	118846	114185
1020	118969	114075
1021	119093	113966
1022	119218	113857
1023	119348	113754
1024	119474	113646
1025	119603	113541
1026	119730	113434
1027	119866	113337
1028	119992	113228
1029	120110	113113
1030	120243	113012
1031	120368	112903
1032	120493	112794
1033	120618	112686
1034	120746	112580
1035	120866	112466
1036	120987	112354
1037	121113	112245
1038	121239	112137
1039	121364	112028
1040	121489	111919
1041	121623	111818
1042	121744	111706
1043	121875	111602
1044	122002	111495
1045	122130	111388
1046	122259	111283
1047	122385	111174
1048	122509	111064
1049	122631	110952
1050	122767	110852
1051	122898	110749
1052	123013	110630
1053	123136	110519
1054	123263	110411
1055	123397	110309
1056	123526	110203
1057	123651	110094
1058	123777	109985
1059	123900	109873
1060	124023	109762
1061	124145	109650
1062	124272	109542
1063	124399	109434
1064	124522	109322
1065	124646	109211
1066	124770	109101
1067	124887	108984
1068	125020	108880
1069	125153	108778
1070	125275	108665
1071	125399	108555
1072	125529	108448
1073	125653	108337
1074	125777	108226
1075	125899	108114
1076	126026	108006
1077	126147	107892
1078	126269	107779
1079	126409	107681
1080	126537	107574
1081	126658	107460
1082	126789	107355
1083	126916	107246
1084	127044	107138
1085	127174	107032
1086	127304	106926
1087	127431	106817
1088	127558	106708
1089	127680	106595
1090	127801	106481
1091	127921	106367
1092	128050	106259
1093	128169	106144
1094	128290	106030
